race_id,race_date,course,race_no,race_name,surface,distance,direction,weather,ground_condition,race_class,race_grade,age_condition,sex_condition,field_size,start_time,source
202311200608,2023-11-20,中京,8,ダミー確定20,芝,2000,左,曇,稍重,オープン,,3歳以上,混合,8,13:35,dummy
202311210609,2023-11-21,中山,9,ダミー確定21,ダート,1200,右,雨,重,1勝クラス,,3歳以上,混合,8,14:05,dummy
202311220610,2023-11-22,阪神,10,ダミー確定22,芝,1400,右,晴,良,2勝クラス,,3歳以上,混合,8,14:35,dummy
202311230611,2023-11-23,東京,11,ダミー確定23,ダート,1600,左,曇,稍重,3勝クラス,,3歳以上,混合,8,15:05,dummy
202311240612,2023-11-24,京都,12,ダミー確定24,芝,1800,右外,雨,重,オープン,,3歳以上,混合,8,15:35,dummy
202311250601,2023-11-25,中京,1,ダミー確定25,ダート,2000,左,晴,良,1勝クラス,,3歳以上,混合,8,10:05,dummy
202311260602,2023-11-26,中山,2,ダミー確定26,芝,1200,右外,曇,稍重,2勝クラス,,4歳以上,混合,8,10:35,dummy
202311270603,2023-11-27,阪神,3,ダミー確定27,ダート,1400,右,雨,重,3勝クラス,,4歳以上,混合,8,11:05,dummy
202311280604,2023-11-28,東京,4,ダミー確定28,芝,1600,左,晴,良,オープン,,4歳以上,混合,8,11:35,dummy
202311290605,2023-11-29,京都,5,ダミー確定29,ダート,1800,右,曇,稍重,1勝クラス,,4歳以上,混合,8,12:05,dummy
202311300606,2023-11-30,中京,6,ダミー確定30,芝,2000,左,雨,重,2勝クラス,,4歳以上,混合,8,12:35,dummy
202312010607,2023-12-01,中山,7,ダミー確定31,ダート,1200,右,晴,良,3勝クラス,,4歳以上,混合,8,13:05,dummy
202312020608,2023-12-02,阪神,8,ダミー確定32,芝,1400,右,曇,稍重,オープン,,4歳以上,混合,8,13:35,dummy
202312030609,2023-12-03,東京,9,ダミー確定33,ダート,1600,左,雨,重,1勝クラス,,4歳以上,混合,8,14:05,dummy
202312040610,2023-12-04,京都,10,ダミー確定34,芝,1800,右外,晴,良,2勝クラス,,4歳以上,混合,8,14:35,dummy
202312050611,2023-12-05,中京,11,ダミー確定35,ダート,2000,左,曇,稍重,3勝クラス,,4歳以上,混合,8,15:05,dummy
202312060612,2023-12-06,中山,12,ダミー確定36,芝,1200,右外,雨,重,オープン,,4歳以上,混合,8,15:35,dummy
202312070601,2023-12-07,阪神,1,ダミー確定37,ダート,1400,右,晴,良,1勝クラス,,4歳以上,混合,8,10:05,dummy
202312080602,2023-12-08,東京,2,ダミー確定38,芝,1600,左,曇,稍重,2勝クラス,,4歳以上,混合,8,10:35,dummy
202312090603,2023-12-09,京都,3,ダミー確定39,ダート,1800,右,雨,重,3勝クラス,,4歳以上,混合,8,11:05,dummy
202312100604,2023-12-10,中京,4,ダミー確定40,芝,2000,左,晴,良,オープン,,4歳以上,混合,8,11:35,dummy
202312110605,2023-12-11,中山,5,ダミー未確定41,ダート,1200,右,曇,稍重,1勝クラス,,4歳以上,混合,8,12:05,dummy
202312120606,2023-12-12,阪神,6,ダミー未確定42,芝,1400,右,雨,重,2勝クラス,,4歳以上,混合,8,12:35,dummy
202312130607,2023-12-13,東京,7,ダミー未確定43,ダート,1600,左,晴,良,3勝クラス,,4歳以上,混合,8,13:05,dummy
202312140608,2023-12-14,京都,8,ダミー未確定44,芝,1800,右外,曇,稍重,オープン,,4歳以上,混合,8,13:35,dummy
202312150609,2023-12-15,中京,9,ダミー未確定45,ダート,2000,左,雨,重,1勝クラス,,4歳以上,混合,8,14:05,dummy
202312160610,2023-12-16,中山,10,ダミー未確定46,芝,1200,右外,晴,良,2勝クラス,,4歳以上,混合,8,14:35,dummy
202312170611,2023-12-17,阪神,11,ダミー未確定47,ダート,1400,右,曇,稍重,3勝クラス,,4歳以上,混合,8,15:05,dummy
202312180612,2023-12-18,東京,12,ダミー未確定48,芝,1600,左,雨,重,オープン,,4歳以上,混合,8,15:35,dummy
202312190601,2023-12-19,京都,1,ダミー未確定49,ダート,1800,右,晴,良,1勝クラス,,4歳以上,混合,8,10:05,dummy
202312200602,2023-12-20,中京,2,ダミー未確定50,芝,2000,左,曇,稍重,2勝クラス,,4歳以上,混合,8,10:35,dummy
