race_id,horse_id,finish_position,finish_time,margin,corner_order,last_3f,source
202311050605,H000004,8,1:15.8,2,8-8,37.5,dummy
202311050605,H000005,1,1:15.1,,1-2,35.8,dummy
202311050605,H000006,2,1:15.2,1 1/4,2-3,36.0,dummy
202311050605,H000007,3,1:15.3,2,3-4,36.2,dummy
202311050605,H000008,4,1:15.4,2 1/2,4-5,36.5,dummy
202311060606,H000001,4,1:11.4,2 1/2,4-5,36.6,dummy
202311060606,H000002,5,1:11.5,1/2,5-6,36.9,dummy
202311060606,H000003,6,1:11.6,1,6-7,37.1,dummy
202311060606,H000004,7,1:11.7,1 1/4,7-8,37.4,dummy
202311060606,H000005,8,1:11.8,2,8-8,37.6,dummy
202311060606,H000006,1,1:11.1,,1-2,35.9,dummy
202311060606,H000007,2,1:11.2,1 1/4,2-3,36.1,dummy
202311060606,H000008,3,1:11.3,2,3-4,36.4,dummy
202311070607,H000001,3,1:12.3,2,3-4,36.5,dummy
202311070607,H000002,4,1:12.4,2 1/2,4-5,36.7,dummy
202311070607,H000003,5,1:12.5,1/2,5-6,37.0,dummy
202311070607,H000004,6,1:12.6,1,6-7,37.2,dummy
202311070607,H000005,7,1:12.7,1 1/4,7-8,37.5,dummy
202311070607,H000006,8,1:12.8,2,8-8,37.7,dummy
202311070607,H000007,1,1:12.1,,1-2,36.0,dummy
202311070607,H000008,2,1:12.2,1 1/4,2-3,36.2,dummy
202311080608,H000001,2,1:13.2,1 1/4,2-3,36.3,dummy
202311080608,H000002,3,1:13.3,2,3-4,36.5,dummy
202311080608,H000003,4,1:13.4,2 1/2,4-5,36.8,dummy
202311080608,H000004,5,1:13.5,1/2,5-6,37.0,dummy
202311080608,H000005,6,1:13.6,1,6-7,37.3,dummy
202311080608,H000006,7,1:13.7,1 1/4,7-8,37.5,dummy
202311080608,H000007,8,1:13.8,2,8-8,37.8,dummy
202311080608,H000008,1,1:13.1,,1-2,36.0,dummy
202311090609,H000001,1,1:14.1,,1-2,35.8,dummy
202311090609,H000002,2,1:14.2,1 1/4,2-3,36.0,dummy
202311090609,H000003,3,1:14.3,2,3-4,36.2,dummy
202311090609,H000004,4,1:14.4,2 1/2,4-5,36.5,dummy
202311090609,H000005,5,1:14.5,1/2,5-6,36.8,dummy
202311090609,H000006,6,1:14.6,1,6-7,37.0,dummy
202311090609,H000007,7,1:14.7,1 1/4,7-8,37.2,dummy
202311090609,H000008,8,1:14.8,2,8-8,37.5,dummy
202311100610,H000001,8,1:15.8,2,8-8,37.6,dummy
202311100610,H000002,1,1:15.1,,1-2,35.9,dummy
202311100610,H000003,2,1:15.2,1 1/4,2-3,36.1,dummy
202311100610,H000004,3,1:15.3,2,3-4,36.4,dummy
202311100610,H000005,4,1:15.4,2 1/2,4-5,36.6,dummy
202311100610,H000006,5,1:15.5,1/2,5-6,36.9,dummy
202311100610,H000007,6,1:15.6,1,6-7,37.1,dummy
202311100610,H000008,7,1:15.7,1 1/4,7-8,37.4,dummy
202311110611,H000001,7,1:11.7,1 1/4,7-8,37.5,dummy
202311110611,H000002,8,1:11.8,2,8-8,37.7,dummy
202311110611,H000003,1,1:11.1,,1-2,36.0,dummy
202311110611,H000004,2,1:11.2,1 1/4,2-3,36.2,dummy
202311110611,H000005,3,1:11.3,2,3-4,36.5,dummy
202311110611,H000006,4,1:11.4,2 1/2,4-5,36.7,dummy
202311110611,H000007,5,1:11.5,1/2,5-6,37.0,dummy
202311110611,H000008,6,1:11.6,1,6-7,37.2,dummy
202311120612,H000001,6,1:12.6,1,6-7,37.3,dummy
202311120612,H000002,7,1:12.7,1 1/4,7-8,37.5,dummy
202311120612,H000003,8,1:12.8,2,8-8,37.8,dummy
202311120612,H000004,1,1:12.1,,1-2,36.0,dummy
202311120612,H000005,2,1:12.2,1 1/4,2-3,36.3,dummy
202311120612,H000006,3,1:12.3,2,3-4,36.5,dummy
202311120612,H000007,4,1:12.4,2 1/2,4-5,36.8,dummy
202311120612,H000008,5,1:12.5,1/2,5-6,37.0,dummy
202311130601,H000001,5,1:13.5,1/2,5-6,36.8,dummy
202311130601,H000002,6,1:13.6,1,6-7,37.0,dummy
202311130601,H000003,7,1:13.7,1 1/4,7-8,37.2,dummy
202311130601,H000004,8,1:13.8,2,8-8,37.5,dummy
202311130601,H000005,1,1:13.1,,1-2,35.8,dummy
202311130601,H000006,2,1:13.2,1 1/4,2-3,36.0,dummy
202311130601,H000007,3,1:13.3,2,3-4,36.2,dummy
202311130601,H000008,4,1:13.4,2 1/2,4-5,36.5,dummy
202311140602,H000001,4,1:14.4,2 1/2,4-5,36.6,dummy
202311140602,H000002,5,1:14.5,1/2,5-6,36.9,dummy
202311140602,H000003,6,1:14.6,1,6-7,37.1,dummy
202311140602,H000004,7,1:14.7,1 1/4,7-8,37.4,dummy
202311140602,H000005,8,1:14.8,2,8-8,37.6,dummy
202311140602,H000006,1,1:14.1,,1-2,35.9,dummy
202311140602,H000007,2,1:14.2,1 1/4,2-3,36.1,dummy
202311140602,H000008,3,1:14.3,2,3-4,36.4,dummy
202311150603,H000001,3,1:15.3,2,3-4,36.5,dummy
202311150603,H000002,4,1:15.4,2 1/2,4-5,36.7,dummy
202311150603,H000003,5,1:15.5,1/2,5-6,37.0,dummy
202311150603,H000004,6,1:15.6,1,6-7,37.2,dummy
202311150603,H000005,7,1:15.7,1 1/4,7-8,37.5,dummy
202311150603,H000006,8,1:15.8,2,8-8,37.7,dummy
202311150603,H000007,1,1:15.1,,1-2,36.0,dummy
202311150603,H000008,2,1:15.2,1 1/4,2-3,36.2,dummy
202311160604,H000001,2,1:11.2,1 1/4,2-3,36.3,dummy
202311160604,H000002,3,1:11.3,2,3-4,36.5,dummy
202311160604,H000003,4,1:11.4,2 1/2,4-5,36.8,dummy
202311160604,H000004,5,1:11.5,1/2,5-6,37.0,dummy
202311160604,H000005,6,1:11.6,1,6-7,37.3,dummy
202311160604,H000006,7,1:11.7,1 1/4,7-8,37.5,dummy
202311160604,H000007,8,1:11.8,2,8-8,37.8,dummy
202311160604,H000008,1,1:11.1,,1-2,36.0,dummy
202311170605,H000001,1,1:12.1,,1-2,35.8,dummy
202311170605,H000002,2,1:12.2,1 1/4,2-3,36.0,dummy
202311170605,H000003,3,1:12.3,2,3-4,36.2,dummy
202311170605,H000004,4,1:12.4,2 1/2,4-5,36.5,dummy
202311170605,H000005,5,1:12.5,1/2,5-6,36.8,dummy
202311170605,H000006,6,1:12.6,1,6-7,37.0,dummy
202311170605,H000007,7,1:12.7,1 1/4,7-8,37.2,dummy
202311170605,H000008,8,1:12.8,2,8-8,37.5,dummy
202311180606,H000001,8,1:13.8,2,8-8,37.6,dummy
202311180606,H000002,1,1:13.1,,1-2,35.9,dummy
202311180606,H000003,2,1:13.2,1 1/4,2-3,36.1,dummy
202311180606,H000004,3,1:13.3,2,3-4,36.4,dummy
202311180606,H000005,4,1:13.4,2 1/2,4-5,36.6,dummy
202311180606,H000006,5,1:13.5,1/2,5-6,36.9,dummy
202311180606,H000007,6,1:13.6,1,6-7,37.1,dummy
202311180606,H000008,7,1:13.7,1 1/4,7-8,37.4,dummy
202311190607,H000001,7,1:14.7,1 1/4,7-8,37.5,dummy
202311190607,H000002,8,1:14.8,2,8-8,37.7,dummy
202311190607,H000003,1,1:14.1,,1-2,36.0,dummy
202311190607,H000004,2,1:14.2,1 1/4,2-3,36.2,dummy
202311190607,H000005,3,1:14.3,2,3-4,36.5,dummy
202311190607,H000006,4,1:14.4,2 1/2,4-5,36.7,dummy
202311190607,H000007,5,1:14.5,1/2,5-6,37.0,dummy
202311190607,H000008,6,1:14.6,1,6-7,37.2,dummy
202311200608,H000001,6,1:15.6,1,6-7,37.3,dummy
202311200608,H000002,7,1:15.7,1 1/4,7-8,37.5,dummy
202311200608,H000003,8,1:15.8,2,8-8,37.8,dummy
202311200608,H000004,1,1:15.1,,1-2,36.0,dummy
202311200608,H000005,2,1:15.2,1 1/4,2-3,36.3,dummy
202311200608,H000006,3,1:15.3,2,3-4,36.5,dummy
202311200608,H000007,4,1:15.4,2 1/2,4-5,36.8,dummy
202311200608,H000008,5,1:15.5,1/2,5-6,37.0,dummy
202311210609,H000001,5,1:11.5,1/2,5-6,36.8,dummy
202311210609,H000002,6,1:11.6,1,6-7,37.0,dummy
202311210609,H000003,7,1:11.7,1 1/4,7-8,37.2,dummy
202311210609,H000004,8,1:11.8,2,8-8,37.5,dummy
202311210609,H000005,1,1:11.1,,1-2,35.8,dummy
202311210609,H000006,2,1:11.2,1 1/4,2-3,36.0,dummy
202311210609,H000007,3,1:11.3,2,3-4,36.2,dummy
202311210609,H000008,4,1:11.4,2 1/2,4-5,36.5,dummy
202311220610,H000001,4,1:12.4,2 1/2,4-5,36.6,dummy
202311220610,H000002,5,1:12.5,1/2,5-6,36.9,dummy
202311220610,H000003,6,1:12.6,1,6-7,37.1,dummy
202311220610,H000004,7,1:12.7,1 1/4,7-8,37.4,dummy
202311220610,H000005,8,1:12.8,2,8-8,37.6,dummy
202311220610,H000006,1,1:12.1,,1-2,35.9,dummy
202311220610,H000007,2,1:12.2,1 1/4,2-3,36.1,dummy
202311220610,H000008,3,1:12.3,2,3-4,36.4,dummy
202311230611,H000001,3,1:13.3,2,3-4,36.5,dummy
202311230611,H000002,4,1:13.4,2 1/2,4-5,36.7,dummy
202311230611,H000003,5,1:13.5,1/2,5-6,37.0,dummy
202311230611,H000004,6,1:13.6,1,6-7,37.2,dummy
202311230611,H000005,7,1:13.7,1 1/4,7-8,37.5,dummy
202311230611,H000006,8,1:13.8,2,8-8,37.7,dummy
202311230611,H000007,1,1:13.1,,1-2,36.0,dummy
202311230611,H000008,2,1:13.2,1 1/4,2-3,36.2,dummy
202311240612,H000001,2,1:14.2,1 1/4,2-3,36.3,dummy
202311240612,H000002,3,1:14.3,2,3-4,36.5,dummy
202311240612,H000003,4,1:14.4,2 1/2,4-5,36.8,dummy
202311240612,H000004,5,1:14.5,1/2,5-6,37.0,dummy
202311240612,H000005,6,1:14.6,1,6-7,37.3,dummy
202311240612,H000006,7,1:14.7,1 1/4,7-8,37.5,dummy
202311240612,H000007,8,1:14.8,2,8-8,37.8,dummy
202311240612,H000008,1,1:14.1,,1-2,36.0,dummy
202311250601,H000001,1,1:15.1,,1-2,35.8,dummy
202311250601,H000002,2,1:15.2,1 1/4,2-3,36.0,dummy
202311250601,H000003,3,1:15.3,2,3-4,36.2,dummy
202311250601,H000004,4,1:15.4,2 1/2,4-5,36.5,dummy
202311250601,H000005,5,1:15.5,1/2,5-6,36.8,dummy
202311250601,H000006,6,1:15.6,1,6-7,37.0,dummy
202311250601,H000007,7,1:15.7,1 1/4,7-8,37.2,dummy
202311250601,H000008,8,1:15.8,2,8-8,37.5,dummy
202311260602,H000001,8,1:11.8,2,8-8,37.6,dummy
202311260602,H000002,1,1:11.1,,1-2,35.9,dummy
202311260602,H000003,2,1:11.2,1 1/4,2-3,36.1,dummy
202311260602,H000004,3,1:11.3,2,3-4,36.4,dummy
202311260602,H000005,4,1:11.4,2 1/2,4-5,36.6,dummy
202311260602,H000006,5,1:11.5,1/2,5-6,36.9,dummy
202311260602,H000007,6,1:11.6,1,6-7,37.1,dummy
202311260602,H000008,7,1:11.7,1 1/4,7-8,37.4,dummy
202311270603,H000001,7,1:12.7,1 1/4,7-8,37.5,dummy
202311270603,H000002,8,1:12.8,2,8-8,37.7,dummy
202311270603,H000003,1,1:12.1,,1-2,36.0,dummy
202311270603,H000004,2,1:12.2,1 1/4,2-3,36.2,dummy
202311270603,H000005,3,1:12.3,2,3-4,36.5,dummy
202311270603,H000006,4,1:12.4,2 1/2,4-5,36.7,dummy
202311270603,H000007,5,1:12.5,1/2,5-6,37.0,dummy
202311270603,H000008,6,1:12.6,1,6-7,37.2,dummy
202311280604,H000001,6,1:13.6,1,6-7,37.3,dummy
202311280604,H000002,7,1:13.7,1 1/4,7-8,37.5,dummy
202311280604,H000003,8,1:13.8,2,8-8,37.8,dummy
202311280604,H000004,1,1:13.1,,1-2,36.0,dummy
202311280604,H000005,2,1:13.2,1 1/4,2-3,36.3,dummy
202311280604,H000006,3,1:13.3,2,3-4,36.5,dummy
202311280604,H000007,4,1:13.4,2 1/2,4-5,36.8,dummy
202311280604,H000008,5,1:13.5,1/2,5-6,37.0,dummy
202311290605,H000001,5,1:14.5,1/2,5-6,36.8,dummy
202311290605,H000002,6,1:14.6,1,6-7,37.0,dummy
202311290605,H000003,7,1:14.7,1 1/4,7-8,37.2,dummy
202311290605,H000004,8,1:14.8,2,8-8,37.5,dummy
202311290605,H000005,1,1:14.1,,1-2,35.8,dummy
202311290605,H000006,2,1:14.2,1 1/4,2-3,36.0,dummy
202311290605,H000007,3,1:14.3,2,3-4,36.2,dummy
202311290605,H000008,4,1:14.4,2 1/2,4-5,36.5,dummy
202311300606,H000001,4,1:15.4,2 1/2,4-5,36.6,dummy
202311300606,H000002,5,1:15.5,1/2,5-6,36.9,dummy
202311300606,H000003,6,1:15.6,1,6-7,37.1,dummy
202311300606,H000004,7,1:15.7,1 1/4,7-8,37.4,dummy
202311300606,H000005,8,1:15.8,2,8-8,37.6,dummy
202311300606,H000006,1,1:15.1,,1-2,35.9,dummy
202311300606,H000007,2,1:15.2,1 1/4,2-3,36.1,dummy
202311300606,H000008,3,1:15.3,2,3-4,36.4,dummy
202312010607,H000001,3,1:11.3,2,3-4,36.5,dummy
202312010607,H000002,4,1:11.4,2 1/2,4-5,36.7,dummy
202312010607,H000003,5,1:11.5,1/2,5-6,37.0,dummy
202312010607,H000004,6,1:11.6,1,6-7,37.2,dummy
202312010607,H000005,7,1:11.7,1 1/4,7-8,37.5,dummy
202312010607,H000006,8,1:11.8,2,8-8,37.7,dummy
202312010607,H000007,1,1:11.1,,1-2,36.0,dummy
202312010607,H000008,2,1:11.2,1 1/4,2-3,36.2,dummy
202312020608,H000001,2,1:12.2,1 1/4,2-3,36.3,dummy
202312020608,H000002,3,1:12.3,2,3-4,36.5,dummy
202312020608,H000003,4,1:12.4,2 1/2,4-5,36.8,dummy
202312020608,H000004,5,1:12.5,1/2,5-6,37.0,dummy
202312020608,H000005,6,1:12.6,1,6-7,37.3,dummy
202312020608,H000006,7,1:12.7,1 1/4,7-8,37.5,dummy
202312020608,H000007,8,1:12.8,2,8-8,37.8,dummy
202312020608,H000008,1,1:12.1,,1-2,36.0,dummy
202312030609,H000001,1,1:13.1,,1-2,35.8,dummy
202312030609,H000002,2,1:13.2,1 1/4,2-3,36.0,dummy
202312030609,H000003,3,1:13.3,2,3-4,36.2,dummy
202312030609,H000004,4,1:13.4,2 1/2,4-5,36.5,dummy
202312030609,H000005,5,1:13.5,1/2,5-6,36.8,dummy
202312030609,H000006,6,1:13.6,1,6-7,37.0,dummy
202312030609,H000007,7,1:13.7,1 1/4,7-8,37.2,dummy
202312030609,H000008,8,1:13.8,2,8-8,37.5,dummy
202312040610,H000001,8,1:14.8,2,8-8,37.6,dummy
202312040610,H000002,1,1:14.1,,1-2,35.9,dummy
202312040610,H000003,2,1:14.2,1 1/4,2-3,36.1,dummy
202312040610,H000004,3,1:14.3,2,3-4,36.4,dummy
202312040610,H000005,4,1:14.4,2 1/2,4-5,36.6,dummy
202312040610,H000006,5,1:14.5,1/2,5-6,36.9,dummy
202312040610,H000007,6,1:14.6,1,6-7,37.1,dummy
202312040610,H000008,7,1:14.7,1 1/4,7-8,37.4,dummy
202312050611,H000001,7,1:15.7,1 1/4,7-8,37.5,dummy
202312050611,H000002,8,1:15.8,2,8-8,37.7,dummy
202312050611,H000003,1,1:15.1,,1-2,36.0,dummy
202312050611,H000004,2,1:15.2,1 1/4,2-3,36.2,dummy
202312050611,H000005,3,1:15.3,2,3-4,36.5,dummy
202312050611,H000006,4,1:15.4,2 1/2,4-5,36.7,dummy
202312050611,H000007,5,1:15.5,1/2,5-6,37.0,dummy
202312050611,H000008,6,1:15.6,1,6-7,37.2,dummy
202312060612,H000001,6,1:11.6,1,6-7,37.3,dummy
202312060612,H000002,7,1:11.7,1 1/4,7-8,37.5,dummy
202312060612,H000003,8,1:11.8,2,8-8,37.8,dummy
202312060612,H000004,1,1:11.1,,1-2,36.0,dummy
202312060612,H000005,2,1:11.2,1 1/4,2-3,36.3,dummy
202312060612,H000006,3,1:11.3,2,3-4,36.5,dummy
202312060612,H000007,4,1:11.4,2 1/2,4-5,36.8,dummy
202312060612,H000008,5,1:11.5,1/2,5-6,37.0,dummy
202312070601,H000001,5,1:12.5,1/2,5-6,36.8,dummy
202312070601,H000002,6,1:12.6,1,6-7,37.0,dummy
202312070601,H000003,7,1:12.7,1 1/4,7-8,37.2,dummy
202312070601,H000004,8,1:12.8,2,8-8,37.5,dummy
202312070601,H000005,1,1:12.1,,1-2,35.8,dummy
202312070601,H000006,2,1:12.2,1 1/4,2-3,36.0,dummy
202312070601,H000007,3,1:12.3,2,3-4,36.2,dummy
202312070601,H000008,4,1:12.4,2 1/2,4-5,36.5,dummy
202312080602,H000001,4,1:13.4,2 1/2,4-5,36.6,dummy
202312080602,H000002,5,1:13.5,1/2,5-6,36.9,dummy
202312080602,H000003,6,1:13.6,1,6-7,37.1,dummy
202312080602,H000004,7,1:13.7,1 1/4,7-8,37.4,dummy
202312080602,H000005,8,1:13.8,2,8-8,37.6,dummy
202312080602,H000006,1,1:13.1,,1-2,35.9,dummy
202312080602,H000007,2,1:13.2,1 1/4,2-3,36.1,dummy
202312080602,H000008,3,1:13.3,2,3-4,36.4,dummy
202312090603,H000001,3,1:14.3,2,3-4,36.5,dummy
202312090603,H000002,4,1:14.4,2 1/2,4-5,36.7,dummy
202312090603,H000003,5,1:14.5,1/2,5-6,37.0,dummy
202312090603,H000004,6,1:14.6,1,6-7,37.2,dummy
202312090603,H000005,7,1:14.7,1 1/4,7-8,37.5,dummy
202312090603,H000006,8,1:14.8,2,8-8,37.7,dummy
202312090603,H000007,1,1:14.1,,1-2,36.0,dummy
202312090603,H000008,2,1:14.2,1 1/4,2-3,36.2,dummy
202312100604,H000001,2,1:15.2,1 1/4,2-3,36.3,dummy
202312100604,H000002,3,1:15.3,2,3-4,36.5,dummy
202312100604,H000003,4,1:15.4,2 1/2,4-5,36.8,dummy
202312100604,H000004,5,1:15.5,1/2,5-6,37.0,dummy
202312100604,H000005,6,1:15.6,1,6-7,37.3,dummy
202312100604,H000006,7,1:15.7,1 1/4,7-8,37.5,dummy
202312100604,H000007,8,1:15.8,2,8-8,37.8,dummy
202312100604,H000008,1,1:15.1,,1-2,36.0,dummy
